
  Energy       1     2.9127648283E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    1   ->    10     0.00000748    32.66085855
    5   ->    12     0.00000479    27.54256404
    3   ->    10     0.00000271    23.53997432

  Energy       7     1.6483844078E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.95590146    16.48253050
    5   ->     8     0.29359082    16.15509469
    4   ->     8     0.00525929    17.25472991
    6   ->     8     0.00342572    13.54144847
    4   ->     9     0.00317173    20.30134065
    6   ->     9     0.00175074    16.58805921
    3   ->     8     0.00167126    18.36304796
    6   ->    10     0.00085010    18.71837483
    6   ->    11     0.00056226    19.79766503
    2   ->    10     0.00046635    26.40599082
    2   ->     9     0.00029475    24.27567520
    3   ->    11     0.00027301    24.61926452
    4   ->    10     0.00020443    22.43165627
    3   ->    10     0.00015783    23.53997432
    1   ->     9     0.00008445    30.53054293
    5   ->     9     0.00008075    19.20170543
    5   ->    11     0.00007941    22.41131125
    2   ->     7     0.00004936    10.22766277
    5   ->    10     0.00003225    21.33202105
    1   ->     8     0.00003042    27.48393219
    3   ->    12     0.00001368    29.75051731
    2   ->     8     0.00000875    21.22906447
    2   ->    11     0.00000871    27.48528102
    1   ->    11     0.00000674    33.74014875
    4   ->     7     0.00000414     6.25332821
    4   ->    12     0.00000369    28.64219926
    1   ->    10     0.00000346    32.66085855
    2   ->    12     0.00000208    32.61653381
    1   ->    12     0.00000165    38.87140154
    3   ->     9     0.00000158    21.40965870
    5   ->     7     0.00000144     5.15369300
    6   ->    12     0.00000048    24.92891782
    6   ->     7     0.00000040     2.54004677
    5   ->    12     0.00000026    27.54256404
    4   ->    11     0.00000016    23.51094647
    3   ->     7     0.00000000     7.36164626

  Energy       8     1.6539923769E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.94476749    16.15509469
    1   ->     7     0.32657593    16.48253050
    6   ->     9     0.01771221    16.58805921
    6   ->     8     0.01314872    13.54144847
    4   ->     9     0.01053532    20.30134065
    4   ->     8     0.00820180    17.25472991
    3   ->     8     0.00755715    18.36304796
    6   ->    10     0.00530476    18.71837483
    2   ->     9     0.00229293    24.27567520
    4   ->    10     0.00207727    22.43165627
    5   ->     9     0.00109953    19.20170543
    2   ->    10     0.00093609    26.40599082
    6   ->    11     0.00050436    19.79766503
    2   ->     8     0.00045474    21.22906447
    5   ->    10     0.00032740    21.33202105
    3   ->    10     0.00027392    23.53997432
    3   ->     9     0.00024894    21.40965870
    5   ->    11     0.00016764    22.41131125
    2   ->     7     0.00012318    10.22766277
    1   ->     9     0.00010262    30.53054293
    1   ->    10     0.00006231    32.66085855
    2   ->    12     0.00005132    32.61653381
    1   ->    12     0.00005111    38.87140154
    4   ->    12     0.00002916    28.64219926
    4   ->     7     0.00002496     6.25332821
    1   ->     8     0.00001631    27.48393219
    5   ->    12     0.00001248    27.54256404
    1   ->    11     0.00000613    33.74014875
    6   ->     7     0.00000520     2.54004677
    3   ->     7     0.00000445     7.36164626
    3   ->    11     0.00000362    24.61926452
    6   ->    12     0.00000238    24.92891782
    2   ->    11     0.00000181    27.48528102
    3   ->    12     0.00000180    29.75051731
    5   ->     7     0.00000034     5.15369300
    4   ->    11     0.00000006    23.51094647

