
  Energy       1     3.4286508539E+00 eV  S

  Transition         Weight        KS [eV]
 =============================================
    3   ->     9     0.00003030    21.61431998
    3   ->    12     0.00002337    28.84745930
    5   ->    11     0.00002302    21.84845769
    1   ->    11     0.00001258    33.41966424
    6   ->    12     0.00000171    24.58337139
    6   ->     9     0.00000054    17.35023208
    1   ->     8     0.00000036    26.65552785
    3   ->    11     0.00000029    24.29908665
    5   ->    12     0.00000000    26.39683033

  Energy       7     1.5346004545E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.99926266    15.08432129
    6   ->     8     0.03756020    13.27086236
    4   ->     9     0.00544278    20.44419730
    3   ->     8     0.00391002    17.53495026
    6   ->    10     0.00290301    18.34813740
    6   ->     9     0.00177634    17.35023208
    4   ->    10     0.00142014    21.44210261
    2   ->     9     0.00139158    24.47789592
    5   ->     9     0.00111812    19.16369102
    1   ->     7     0.00072073    16.56241835
    2   ->    10     0.00064074    25.47580124
    4   ->    11     0.00063192    23.12896397
    2   ->    11     0.00041494    27.16266259
    2   ->     7     0.00031675    10.30541670
    1   ->     9     0.00013696    30.73489758
    5   ->    10     0.00009554    20.16159633
    4   ->     8     0.00008812    16.36482757
    3   ->    10     0.00008673    22.61222530
    4   ->    12     0.00008357    27.67733661
    3   ->    11     0.00008304    24.29908665
    4   ->     7     0.00006117     6.27171807
    5   ->    11     0.00005559    21.84845769
    1   ->    10     0.00002650    31.73280289
    2   ->    12     0.00001359    31.71103524
    5   ->     7     0.00001326     4.99121179
    3   ->     9     0.00000811    21.61431998
    1   ->    11     0.00000568    33.41966424
    5   ->    12     0.00000322    26.39683033
    3   ->    12     0.00000235    28.84745930
    1   ->     8     0.00000221    26.65552785
    6   ->     7     0.00000168     3.17775286
    1   ->    12     0.00000147    37.96803689
    2   ->     8     0.00000071    20.39852620
    6   ->    12     0.00000034    24.58337139
    6   ->    11     0.00000023    20.03499875
    3   ->     7     0.00000017     7.44184076

  Energy       8     1.6567635997E+01 eV  S

  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.99728563    16.56241835
    4   ->     8     0.07354873    16.36482757
    3   ->     8     0.00213781    17.53495026
    6   ->     9     0.00206009    17.35023208
    6   ->    10     0.00166129    18.34813740
    5   ->     8     0.00036774    15.08432129
    6   ->     8     0.00035570    13.27086236
    2   ->     8     0.00025984    20.39852620
    6   ->    11     0.00015750    20.03499875
    4   ->    10     0.00009460    21.44210261
    5   ->    10     0.00007695    20.16159633
    3   ->     9     0.00007136    21.61431998
    4   ->    11     0.00005290    23.12896397
    2   ->    10     0.00004614    25.47580124
    5   ->     9     0.00003494    19.16369102
    4   ->     9     0.00003429    20.44419730
    5   ->    11     0.00002798    21.84845769
    2   ->     9     0.00002672    24.47789592
    1   ->    11     0.00000701    33.41966424
    1   ->     8     0.00000505    26.65552785
    3   ->    10     0.00000210    22.61222530
    2   ->    12     0.00000185    31.71103524
    3   ->    12     0.00000146    28.84745930
    6   ->    12     0.00000145    24.58337139
    3   ->    11     0.00000103    24.29908665
    1   ->    10     0.00000067    31.73280289
    1   ->    12     0.00000049    37.96803689
    2   ->     7     0.00000040    10.30541670
    4   ->     7     0.00000036     6.27171807
    6   ->     7     0.00000018     3.17775286
    5   ->     7     0.00000006     4.99121179
    4   ->    12     0.00000001    27.67733661
    5   ->    12     0.00000001    26.39683033
    1   ->     9     0.00000001    30.73489758
    2   ->    11     0.00000001    27.16266259
    3   ->     7     0.00000000     7.44184076

